HUC12,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
"020600030106",400768,"BAY646","SWM","CMON","MDDNR","MDDNR","XJG7035",4/2/2015,07:45:00,0.9,,,0.6,"BS","D","S1","TDN",,2.16000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",400769,"BAY646","SWM","CMON","MDDNR","MDDNR","XJG7035",4/15/2015,11:30:00,0.4,,,0.1,"BS","D","FS1","TDN",,2.51000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",400613,"BAY648","SWM","CMON","MDDNR","MDDNR","XJG7035",5/12/2015,11:45:00,0.6,,,0.3,"BS","D","S1","TDN",,2.02000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",400614,"BAY649","SWM","CMON","MDDNR","MDDNR","XJG7035",5/27/2015,07:30:00,0.9,,,0.6,"BS","D","S1","TDN",,,"MG/L","L01 ","CBL","A ",,,,39.45078,-76.27457,"T3"
"020600030106",400667,"BAY650","SWM","CMON","MDDNR","MDDNR","XJG7035",6/11/2015,10:45:00,0.7,,,0.4,"BS","D","S1","TDN",,1.66000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",400770,"BAY647","SWM","CMON","MDDNR","MDDNR","XJG7035",4/28/2015,11:15:00,0.3,,,0.1,"BS","D","S1","TDN",,1.33000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",400668,"BAY651","SWM","CMON","MDDNR","MDDNR","XJG7035",6/25/2015,11:30:00,0.7,,,0.4,"BS","D","FS1","TDN",,1.77000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",400719,"BAY652","SWM","CMON","MDDNR","MDDNR","XJG7035",7/9/2015,10:45:00,0.8,,,0.5,"BS","D","S1","TDN",,1.69000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",400720,"BAY653","SWM","CMON","MDDNR","MDDNR","XJG7035",7/23/2015,11:15:00,1,,,0.7,"BS","D","FS1","TDN",,1.24000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",400818,"BAY654","SWM","CMON","MDDNR","MDDNR","XJG7035",8/6/2015,11:45:00,0.9,,,0.6,"BS","D","S1","TDN",,1.28000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",400819,"BAY655","SWM","CMON","MDDNR","MDDNR","XJG7035",8/18/2015,11:45:00,1.1,,,0.8,"BS","D","FS1","TDN",,1.20000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",400887,"BAY656","SWM","CMON","MDDNR","MDDNR","XJG7035",9/1/2015,07:30:00,0.9,,,0.6,"BS","D","S1","TDN",,1.18000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",400888,"BAY656","SWM","CMON","MDDNR","MDDNR","XJG7035",9/15/2015,08:00:00,0.8,,,0.5,"BS","D","FS1","TDN",,1.28000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",400889,"BAY657","SWM","CMON","MDDNR","MDDNR","XJG7035",9/30/2015,11:45:00,1.2,,,0.9,"BS","D","S1","TDN",,1.83000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",400929,"BAY658","SWM","CMON","MDDNR","MDDNR","XJG7035",10/14/2015,11:00:00,0.9,,,0.6,"BS","D","S1","TDN",,1.57000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",400930,"BAY659","SWM","CMON","MDDNR","MDDNR","XJG7035",10/29/2015,11:15:00,0.9,,,0.6,"BS","D","FS1","TDN",,1.68000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",414564,"BAY661","SWM","CMON","MDDNR","MDDNR","XJG7035",11/18/2015,10:30:00,1,,,0.7,"BS","D","FS1","TDN",,1.87000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",414580,"BAY662","SWM","CMON","MDDNR","MDDNR","XJG7035",12/10/2015,10:15:00,0.9,,,0.6,"BS","D","FS1","TDN",,1.66000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",420625,"BAY664","SWM","CMON","MDDNR","MDDNR","XJG7035",1/7/2016,08:45:00,0.6,,,0.3,"BS","D","FS1","TDN",,1.95000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",420645,"BAY669","SWM","CMON","MDDNR","MDDNR","XJG7035",3/29/2016,11:30:00,0.6,,,0.3,"BS","D","FS1","TDN",,,"MG/L","L01 ","CBL","A ",,,,39.45078,-76.27457,"T3"
"020600030106",420674,"BAY670","SWM","CMON","MDDNR","MDDNR","XJG7035",4/13/2016,12:00:00,0.7,,,0.4,"BS","D","S1","TDN",,1.98000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",420675,"BAY671","SWM","CMON","MDDNR","MDDNR","XJG7035",4/26/2016,07:30:00,1,,,0.7,"BS","D","FS1","TDN",,1.98000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",421948,"BAY676","SWM","CMON","MDDNR","MDDNR","XJG7035",7/14/2016,10:15:00,0.6,,,0.3,"BS","D","S1","TDN",,1.69000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",421949,"BAY677","SWM","CMON","MDDNR","MDDNR","XJG7035",7/27/2016,10:30:00,0.8,,,0.3,"BS","D","S1","TDN",,2.70000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",422210,"BAY672","SWM","CMON","MDDNR","MDDNR","XJG7035",5/11/2016,07:30:00,0.7,,,0.4,"BS","D","S1","TDN",,1.88000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",422211,"BAY673","SWM","CMON","MDDNR","MDDNR","XJG7035",5/24/2016,12:00:00,1,,,0.7,"BS","D","S1","TDN",,2.23000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",422267,"BAY674","SWM","CMON","MDDNR","MDDNR","XJG7035",6/15/2016,10:30:00,0.8,,,0.5,"BS","D","S1","TDN",,1.42000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",422268,"BAY675","SWM","CMON","MDDNR","MDDNR","XJG7035",6/28/2016,09:30:00,0.9,,,0.6,"BS","D","FS1","TDN",,1.71000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",425793,"BAY678","SWM","CMON","MDDNR","MDDNR","XJG7035",8/9/2016,07:45:00,0.7,,,0.4,"BS","D","S1","TDN",,1.50000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",425794,"BAY679","SWM","CMON","MDDNR","MDDNR","XJG7035",8/24/2016,11:15:00,0.9,,,0.5,"BS","D","FS1","TDN",,1.38000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",425794,"BAY679","SWM","CMON","MDDNR","MDDNR","XJG7035",8/24/2016,11:15:00,0.9,,,0.5,"BS","D","FS2","TDN",,,"MG/L","L01 ","CBL","RR",,,,39.45078,-76.27457,"T3"
"020600030106",425816,"BAY686","SWM","CMON","MDDNR","MDDNR","XJG7035",12/8/2016,12:15:00,0.9,,,0.6,"BS","D","S1","TDN",,1.24000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",425832,"BAY684","SWM","CMON","MDDNR","MDDNR","XJG7035",11/9/2016,10:00:00,0.8,,,0.5,"BS","D","FS1","TDN",,1.41000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",425871,"BAY682","SWM","CMON","MDDNR","MDDNR","XJG7035",10/4/2016,10:45:00,1,,,0.7,"BS","D","S1","TDN",,1.40000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",425872,"BAY683","SWM","CMON","MDDNR","MDDNR","XJG7035",10/25/2016,08:30:00,0.3,,,0.1,"BS","D","S1","TDN",,1.58000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",427183,"BAY680","SWM","CMON","MDDNR","MDDNR","XJG7035",9/8/2016,11:00:00,0.9,,,0.6,"BS","D","S1","TDN",,1.29000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",427184,"BAY681","SWM","CMON","MDDNR","MDDNR","XJG7035",9/22/2016,11:00:00,0.9,,,0.6,"BS","D","S1","TDN",,1.57000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",447510,"BAY694","SWM","CMON","MDDNR","MDDNR","XJG7035",4/4/2017,08:45:00,0.8,,,0.5,"BS","D","S1","TDN",,2.12000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",447511,"BAY695","SWM","CMON","MDDNR","MDDNR","XJG7035",4/25/2017,09:45:00,0.7,,,0.4,"BS","D","S1","TDN",,1.74000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",447560,"BAY699","SWM","CMON","MDDNR","MDDNR","XJG7035",6/21/2017,09:30:00,0.8,,,0.5,"BS","D","S1","TDN",,1.57000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",447618,"BAY702","SWM","CMON","MDDNR","MDDNR","XJG7035",8/1/2017,10:00:00,0.6,,,0.3,"BS","D","S1","TDN",,1.65000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",447619,"BAY703","SWM","CMON","MDDNR","MDDNR","XJG7035",8/17/2017,10:30:00,0.6,,,0.3,"BS","D","S1","TDN",,1.56000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
"020600030106",447620,"BAY703","SWM","CMON","MDDNR","MDDNR","XJG7035",8/29/2017,10:45:00,0.9,,,0.6,"BS","D","S1","TDN",,1.35000,"MG/L","L01 ","CBL",,,,,39.45078,-76.27457,"T3"
